Num_Puntos,Fitness_Obtenido
10,0.9753283073146599
20,0.913193272716104
30,0.7520624530978774
40,0.3642032403973355
50,0.4599106609186326
10,1.4503709411250716
20,0.9551394979938491
30,0.677551026545577
40,0.5089713244107883
50,-1.7581556916034502
10,0.8673752701283816
20,0.7824779917515791
30,0.7444411237471035
40,-1.873622290748668
50,0.011751111599910317
10,0.20542669759835946
20,-0.5872046500486757
30,-0.7793948994833786
40,-1.241799476022266
50,-2.3474909851369494
10,0.9387063067481378
20,0.9356393256664776
30,0.42568561260349475
40,-0.25863754836910674
50,-0.5726986572176757
10,0.28220856859825544
20,0.011991283600548533
10,2.424167566247692
20,1.796687269205449
10,2.454926972781269
20,2.45624758578937
30,2.1328472351445327
40,2.065273289726518
50,1.3062561585852284
10,2.018905629818286
20,2.1473252495182864
30,1.340405251336512
40,1.0784870638152722
50,1.6081730132942473
10,2.458695597959252
20,1.877123988605396
30,2.087847965754584
40,2.1528506114590495
50,1.2518484564502246
10,1.9714022851742854
20,2.2770172557798385
30,2.369893694774937
40,1.5510608549244052
50,1.8742233039634233
10,1.5914220822458434
20,2.3987999208461357
30,1.5210527332513177
40,0.9319988485997793
50,0.5948070717049584
10,1.422658096874456
20,1.7671887222036817
30,1.6330124231677678
40,1.164010039514097
50,0.8019826398201731
